Full_Name,First_Name,Last_Name,DOB,Mobile_Number_1,Mobile_Number_2,Email_Id_1,Email_Id_2
Chitkara University,,,,,,,
Christ University,,,,,,,
Cluster University of Jammu,,,,,,,
CMJ University,,,,,,,
CMR University,,,,,,,
Cochin University of Science and Technology,,,,,,,
Cooch Behar Panchanan Barma University,,,,,,,
Cotton University,,,,,,,
CSK Himachal Pradesh Krishi Vishvavidyalaya,,,,,,,
Dakshina Bharat Hindi Prachar Sabha,,,,,,,
Damodaram Sanjivayya National Law University,,,,,,,
Datta Meghe Institute of Medical Sciences,,,,,,,
DAV University,,,,,,,
Davangere University,,,,,,,
Dayalbagh Educational Institute,,,,,,,
Dayananda Sagar University,,,,,,,
Deccan College Post-Graduate and Research Institute,,,,,,,
Deen Dayal Upadhyay Gorakhpur University,,,,,,,
Deenbandhu Chhotu Ram University of Science and Technology,,,,,,,
Delhi Pharmaceutical Sciences and Research University,,,,,,,
Delhi Technological University,,,,,,,
Desh Bhagat University,,,,,,,
Dev Sanskriti Vishwavidyalaya,,,,,,,
Devi Ahilya Vishwavidyalaya,,,,,,,
Dharmsinh Desai University,,,,,,,
Dhirubhai Ambani Institute of Information and Communication Technology,,,,,,,
Diamond Harbour Women's University,,,,,,,
Dibrugarh University,,,,,,,
DIT University,,,,,,,
Doon University,,,,,,,
Dr K.N. Modi University,,,,,,,
Dr. A.P.J Abdul Kalam University,,,,,,,
Dr. A.P.J. Abdul Kalam Technical University,,,,,,,
Dr. B R Ambedkar National Institute of Technology Jalandhar,,,,,,,
Dr. B.R. Ambedkar University,,,,,,,
Dr. B.R. Ambedkar University of Social Sciences,,,,,,,
Dr. Babasaheb Ambedkar Marathwada University,,,,,,,
Dr. Babasaheb Ambedkar Technological University,,,,,,,
Dr. Balasaheb Sawant Konkan Krishi Vidyapeeth,,,,,,,
Dr. Bhimrao Ambedkar University,,,,,,,
Dr. C.V. Raman University,,,,,,,
Dr. D.Y. Patil Vidyapeeth,,,,,,,
Dr. Hari Singh Gour University,,,,,,,
Dr. M.G.R. Educational and Research Institute,,,,,,,
Dr. N.T.R. University of Health Sciences,,,,,,,
Dr. Panjabrao Deshmukh Krishi Vidyapeeth,,,,,,,
Dr. Rajendra Prasad Central Agriculture University,,,,,,,
Dr. Ram Manohar Lohia Avadh University,,,,,,,
Dr. Ram Manohar Lohiya National Law University,,,,,,,
Dr. Sarvepalli Radhakrishnan Rajasthan Ayurved University,,,,,,,
Dr. Shakuntala Misra Rehabilitation University,,,,,,,
Dr. Vishwanath Karad MIT World Peace University,,,,,,,
Dr. Y.S. Parmar University of Horticulture and Forestry,,,,,,,
Dr.Y.S.R. Horticultural University,,,,,,,
Dravidian University,,,,,,,
EIILM University,,,,,,,
Era University,,,,,,,
Eternal University,,,,,,,
Fakir Mohan University,,,,,,,
Flame University,,,,,,,
Forest Research Institute,,,,,,,
G H Raisoni University,,,,,,,
G.L.S. University,,,,,,,
Galgotias University,,,,,,,
Gandhi Institute of Technology and Management,,,,,,,
Gandhigram Rural University,,,,,,,
Gangadhar Meher University,,,,,,,
Ganpat University,,,,,,,
Garden City University,,,,,,,
Gauhati University,,,,,,,
Gautam Buddha University,,,,,,,
GD Goenka University,,,,,,,
Geetanjali University,,,,,,,
GLA University,,,,,,,
Glocal University,,,,,,,
GNA University,,,,,,,
Goa University,,,,,,,
Gokhale Institute of Politics and Economics,,,,,,,
Gondwana University,,,,,,,
Govind Ballabh Pant University of Agriculture and Technology,,,,,,,
Govind Guru Tribal University,,,,,,,
Graphic Era Hill University,,,,,,,
Graphic Era University,,,,,,,
GSFC University,,,,,,,
Gujarat Ayurved University,,,,,,,
Gujarat Forensic Sciences University,,,,,,,
Gujarat National Law University,,,,,,,
Gujarat Technological University,,,,,,,
Gujarat University,,,,,,,
Gujarat University of Transplantation Sciences,,,,,,,
Gujarat Vidyapith,,,,,,,
Gulbarga University,,,,,,,
Guru Angad Dev Veterinary and Animal Sciences University,,,,,,,
Guru Ghasidas Vishwavidyalaya,,,,,,,
Guru Gobind Singh Indraprastha University,,,,,,,
Guru Jambheshwar University of Science and Technology,,,,,,,
Guru Kashi University,,,,,,,
Guru Nanak Dev University,,,,,,,
Guru Ravidas Ayurved University,,,,,,,
Gurukul Kangri Vishwavidyalaya,,,,,,,
Harcourt Butler Technical University,,,,,,,
Haridev Joshi University of Journalism and Mass Communication,,,,,,,
Haryana Vishwakarma Skill University,,,,,,,
Hemchandracharya North Gujarat University,,,,,,,
Hemwati Nandan Bahuguna Garhwal University,,,,,,,
Hemwati Nandan Bahuguna Medical University,,,,,,,
Hidayatullah National Law University,,,,,,,
Himachal Pradesh Technical University,,,,,,,
Himachal Pradesh University,,,,,,,
Himalayan Garhwal University,,,,,,,
Himalayan University,,,,,,,
Himgiri ZEE University,,,,,,,
Hindustan Institute of Technology and Science,,,,,,,
Homi Bhabha National Institute,,,,,,,
"ICFAI University, Dehradun",,,,,,,
"ICFAI University, Himachal Pradesh",,,,,,,
"ICFAI University, Jaipur",,,,,,,
"ICFAI University, Jharkhand",,,,,,,
"ICFAI University, Meghalaya",,,,,,,
"ICFAI University, Mizoram",,,,,,,
"ICFAI University, Nagaland",,,,,,,
"ICFAI University, Raipur",,,,,,,
"ICFAI University, Sikkim",,,,,,,
"ICFAI University, Tripura",,,,,,,
IEC University,,,,,,,
IFHE Hyderabad,,,,,,,
IFTM University,,,,,,,
IIHMR University,,,,,,,
IIMT University,,,,,,,
IMS Unison University,,,,,,,
Indian Agricultural Research Institute,,,,,,,
"Indian Institute of Engineering Science and Technology, Shibpur",,,,,,,
Indian Institute of Foreign Trade,,,,,,,
Indian Institute of Information Technology Allahabad,,,,,,,
Indian Institute of Information Technology and Management Gwalior,,,,,,,
"Indian Institute of Information Technology, Design and Manufacturing",,,,,,,
"Indian Institute of Information Technology, Guwahati",,,,,,,
"Indian Institute of Information Technology, Kalyani",,,,,,,
"Indian Institute of Information Technology, Kottayam",,,,,,,
"Indian Institute of Information Technology, Lucknow",,,,,,,
"Indian Institute of Information Technology, Manipur",,,,,,,
"Indian Institute of Information Technology, Sri City",,,,,,,
"Indian Institute of Information Technology, Una",,,,,,,
"Indian Institute of Information Technology, Vadodara",,,,,,,
Indian Institute of Public Health,,,,,,,
Indian Institute of Science,,,,,,,
"Indian Institute of Science Education and Research, Bhopal",,,,,,,
"Indian Institute of Science Education and Research, Kolkata",,,,,,,
"Indian Institute of Science Education and Research, Mohali",,,,,,,
"Indian Institute of Science Education and Research, Pune",,,,,,,
"Indian Institute of Science Education and Research, Thiruvananthapuram",,,,,,,
Indian Institute of Space Science and Technology,,,,,,,
Indian Institute of Teacher Education,,,,,,,
Indian Institute of Technology Bhubaneswar,,,,,,,
Indian Institute of Technology Bombay,,,,,,,
Indian Institute of Technology Delhi,,,,,,,
Indian Institute of Technology Gandhinagar,,,,,,,
Indian Institute of Technology Guwahati,,,,,,,
Indian Institute of Technology Hyderabad,,,,,,,
Indian Institute of Technology Indore,,,,,,,
Indian Institute of Technology Jodhpur,,,,,,,
Indian Institute of Technology Kanpur,,,,,,,
Indian Institute of Technology Kharagpur,,,,,,,
Indian Institute of Technology Mandi,,,,,,,
Indian Institute of Technology Patna,,,,,,,
Indian Institute of Technology Roorkee,,,,,,,
Indian Institute of Technology Ropar,,,,,,,
"Indian Institute of Technology, BHU",,,,,,,
Indian Maritime University,,,,,,,
Indian School of Mines,,,,,,,
Indian Statistical Institute,,,,,,,
Indian Veterinary Research Institute,,,,,,,
Indira Gandhi Delhi Technical University for Women,,,,,,,
Indira Gandhi Institute of Development Research,,,,,,,
"Indira Gandhi Institute of Medical Sciences, Sheikhpura",,,,,,,
Indira Gandhi Krishi Vishwavidyalaya,,,,,,,
Indira Gandhi National Tribal University,,,,,,,
Indira Gandhi Technological and Medical Sciences University,,,,,,,
"Indira Gandhi University, Meerpur",,,,,,,
Indira Kala Sangeet Vishwavidyalaya,,,,,,,
Indraprastha Institute of Information Technology,,,,,,,
Indrashil University,,,,,,,
Indus International University,,,,,,,
Indus University,,,,,,,
Institute of Advanced Research,,,,,,,
Institute of Advanced Studies in Education,,,,,,,
"Institute of Infrastructure, Technology, Research and Management",,,,,,,
Integral University,,,,,,,
International Institute for Population Sciences,,,,,,,
International Institute of Information Technology Bangalore,,,,,,,
"International Institute of Information Technology, Bhubaneswar",,,,,,,
"International Institute of Information Technology, Hyderabad",,,,,,,
"International Institute of Information Technology, Naya Raipur",,,,,,,
Invertis University,,,,,,,
ISBM University,,,,,,,
Islamic University of Science and Technology,,,,,,,
ITM University Gwalior,,,,,,,
ITM University Raipur,,,,,,,
ITM Vocational University,,,,,,,
Jadavpur University,,,,,,,
Jagadguru Ramanandacharya Rajasthan Sanskrit University,,,,,,,
Jagadguru Rambhadracharya Handicapped University,,,,,,,
Jagadguru Sri Shivarathreeswara University,,,,,,,
Jagan Nath University,,,,,,,
Jagannath University,,,,,,,
Jagran Lakecity University,,,,,,,
Jai Narain Vyas University,,,,,,,
Jai Prakash Vishwavidyalaya,,,,,,,
Jain University,,,,,,,
Jain Vishva Bharati Institute,,,,,,,
Jaipur National University,,,,,,,
Jamia Hamdard,,,,,,,
Jamia Millia Islamia,,,,,,,
Jananayak Chandrashekhar University,,,,,,,
Janardan Rai Nagar Rajasthan Vidhyapeeth University,,,,,,,
Jawaharlal Institute of Postgraduate Medical Education and Research,,,,,,,
Jawaharlal Nehru Architecture and Fine Arts University,,,,,,,
Jawaharlal Nehru Centre for Advanced Scientific Research,,,,,,,
Jawaharlal Nehru Krishi Vishwavidyalaya,,,,,,,
Jawaharlal Nehru Technological University,,,,,,,
"Jawaharlal Nehru Technological University, Anantapur",,,,,,,
"Jawaharlal Nehru Technological University, Kakinada",,,,,,,
Jawaharlal Nehru University,,,,,,,
Jayoti Vidyapeeth Women's University,,,,,,,
Jaypee Institute of Information Technology,,,,,,,
Jaypee University Anoopshahr,,,,,,,
Jaypee University of Engineering and Technology,,,,,,,
Jaypee University of Information Technology,,,,,,,
JECRC University,,,,,,,
Jharkhand Rai University,,,,,,,
Jharkhand Raksha Shakti University,,,,,,,
JIS University,,,,,,,
Jiwaji University,,,,,,,
JK Lakshmipat University,,,,,,,
Jodhpur National University,,,,,,,
JS University,,,,,,,
JSS Science and Technology University,,,,,,,
Junagadh Agricultural University,,,,,,,
K L University,,,,,,,
K.K. University,,,,,,,
K.R. Mangalam University,,,,,,,
Kadi Sarva Vishwavidyalaya,,,,,,,
Kakatiya University,,,,,,,
Kalasalingam University,,,,,,,
Kalinga University,,,,,,,
Kamdhenu University,,,,,,,
Kameshwar Singh Darbhanga Sanskrit University,,,,,,,
Kannada University,,,,,,,
Kannur University,,,,,,,
Karnatak University,,,,,,,
Karnataka Janapada Vishwavidyalaya,,,,,,,
Karnataka Sanskrit University,,,,,,,
Karnataka State Law University,,,,,,,
Karnataka State Rural Development and Panchayat Raj University,,,,,,,
Karnataka State Women's University,,,,,,,
"Karnataka Veterinary, Animal and Fisheries Sciences University",,,,,,,
Karnavati University,,,,,,,
Karpagam Academy of Higher Education,,,,,,,
Karunya University,,,,,,,
Kavi Kulguru Kalidas Sanskrit Vishwavidyalaya,,,,,,,
Kazi Nazrul University,,,,,,,
Kaziranga University,,,,,,,
Kerala Agricultural University,,,,,,,
Kerala Kalamandalam,,,,,,,
Kerala University of Fisheries and Ocean Studies,,,,,,,
Kerala University of Health Sciences,,,,,,,
Kerala Veterinary and Animal Sciences University,,,,,,,
Khallikote University,,,,,,,
Khalsa University,,,,,,,
"Khwaja Moinuddin Chishti Urdu, Arabi-Farsi University",,,,,,,
KIIT University,,,,,,,
King George's Medical University,,,,,,,
KLE Technological University,,,,,,,
KLE University,,,,,,,
Kolhan University,,,,,,,
Krantiguru Shyamji Krishna Verma Kachchh University,,,,,,,
Krishna Institute of Medical Sciences,,,,,,,
Krishna University,,,,,,,
KSGH Music and Performing Arts University,,,,,,,
Kumar Bhaskar Varma Sanskrit and Ancient Studies University,,,,,,,
Kumaun University,,,,,,,
Kurukshetra University,,,,,,,
Kushabhau Thakre Patrakarita Avam Jansanchar University,,,,,,,
Kuvempu University,,,,,,,
Lakshmibai National Institute of Physical Education,,,,,,,
Lakulish Yoga University,,,,,,,
Lala Lajpat Rai University of Veterinary and Animal Sciences,,,,,,,
Lalit Narayan Mithila University,,,,,,,
Lingaya's University,,,,,,,
LNCT University,,,,,,,
M.J.P. Rohilkhand University,,,,,,,
M.S. Ramaiah University of Applied Sciences,,,,,,,
Madan Mohan Malaviya University of Technology,,,,,,,
Madhav University,,,,,,,
Madurai Kamaraj University,,,,,,,
Magadh University,,,,,,,
Mahapurusha Srimanta Sankaradeva Viswavidyalaya,,,,,,,
Maharaja Agrasen University,,,,,,,
Maharaja Bir Bikram University,,,,,,,
Maharaja Chhatrasal Bundelkhand University,,,,,,,
Maharaja Ganga Singh University,,,,,,,
Maharaja Krishnakumarsinhji Bhavnagar University,,,,,,,
Maharaja Ranjit Singh Punjab Technical University,,,,,,,
Maharaja Surajmal Brij University,,,,,,,
Maharana Pratap University of Agriculture and Technology,,,,,,,
Maharashtra Animal and Fishery Sciences University,,,,,,,
"Maharashtra National Law University, Aurangabad",,,,,,,
"Maharashtra National Law University, Mumbai",,,,,,,
"Maharashtra National Law University, Nagpur",,,,,,,
Maharashtra University of Health Sciences,,,,,,,
"Maharishi Arvind University, Jaipur",,,,,,,
Maharishi Dayanand University,,,,,,,
Maharishi Mahesh Yogi Vedic Vishwavidyalaya,,,,,,,
"Maharishi Markandeshwar University, Mullana",,,,,,,
"Maharishi Markandeshwar University, Sadopur",,,,,,,
"Maharishi Markandeshwar University, Solan",,,,,,,
Maharishi University,,,,,,,
Maharishi University of Management and Technology,,,,,,,
Maharshi Dayanand Saraswati University,,,,,,,
Maharshi Panini Sanskrit Vishwavidyalaya,,,,,,,
Mahatma Gandhi Antarrashtriya Hindi Vishwavidyalaya,,,,,,,
"Mahatma Gandhi Central University, Motihari",,,,,,,
Mahatma Gandhi Chitrakoot Gramoday Vishwavidyalaya,,,,,,,
Mahatma Gandhi Kashi Vidyapeeth,,,,,,,
Mahatma Gandhi University,,,,,,,
Mahatma Gandhi University of Medical Sciences and Technology,,,,,,,
"Mahatma Gandhi University, Meghalaya",,,,,,,
"Mahatma Gandhi University, Nalgonda",,,,,,,
Mahatma Jyoti Rao Phoole University,,,,,,,
Mahatma Phule Krishi Vidyapeeth,,,,,,,
Makhanlal Chaturvedi Rashtriya Patrakarita Vishwavidyalaya,,,,,,,
"Malaviya National Institute of Technology, Jaipur",,,,,,,
Malwanchal University,,,,,,,
Manav Bharti University,,,,,,,
Manav Rachna International Institute of Research and Studies,,,,,,,
Manav Rachna University,,,,,,,
Mandsaur University,,,,,,,
Mangalayatan University,,,,,,,
Mangalore University,,,,,,,
Manipal University,,,,,,,
Manipur Technical University,,,,,,,
Manipur University,,,,,,,
Manipur University of Culture,,,,,,,
Manonmaniam Sundaranar University,,,,,,,
Martin Luther Christian University,,,,,,,
Marwadi University,,,,,,,
MATS University,,,,,,,
Maulana Abul Kalam Azad University of Technology,,,,,,,
Maulana Azad National Institute of Technology,,,,,,,
Maulana Azad National Urdu University,,,,,,,
"Maulana Azad University, Jodhpur",,,,,,,
Maulana Mazharul Haque Arabic and Persian University,,,,,,,
Medi-Caps University,,,,,,,
Meenakshi Academy of Higher Education and Research,,,,,,,
Mewar University,,,,,,,
MGM Institute of Health Sciences,,,,,,,
MIT Art Design and Technology University,,,,,,,
Mizoram University,,,,,,,
Mody University of Science and Technology,,,,,,,
Mohammad Ali Jauhar University,,,,,,,
Mohanlal Sukhadia University,,,,,,,
Monad University,,,,,,,
Mother Teresa Women's University,,,,,,,
Motherhood University,,,,,,,
Motilal Nehru National Institute of Technology,,,,,,,
MVN University,,,,,,,
Nagaland University,,,,,,,
Nalanda University,,,,,,,
NALSAR University of Law,,,,,,,
Nanaji Deshmukh Veterinary Science University,,,,,,,
Narendra Dev University of Agriculture and Technology,,,,,,,
Narsee Monjee Institute of Management and Higher Studies,,,,,,,
National Dairy Research Institute,,,,,,,
National Institute of Design,,,,,,,
National Institute of Fashion Technology,,,,,,,
National Institute of Food Technology Entrepreneurship and Management,,,,,,,
National Institute of Mental Health and Neuro Sciences,,,,,,,
"National Institute of Pharmaceutical Education and Research, Ahmedabad",,,,,,,
"National Institute of Pharmaceutical Education and Research, Guwahati",,,,,,,
"National Institute of Pharmaceutical Education and Research, Hajipur",,,,,,,
"National Institute of Pharmaceutical Education and Research, Hyderabad",,,,,,,
"National Institute of Pharmaceutical Education and Research, Kolkata",,,,,,,
"National Institute of Pharmaceutical Education and Research, Mohali",,,,,,,
"National Institute of Pharmaceutical Education and Research, Rae Bareli",,,,,,,
"National Institute of Technology, Agartala",,,,,,,
"National Institute of Technology, Arunachal Pradesh",,,,,,,
"National Institute of Technology, Calicut",,,,,,,
"National Institute of Technology, Delhi",,,,,,,
"National Institute of Technology, Durgapur",,,,,,,
"National Institute of Technology, Goa",,,,,,,
"National Institute of Technology, Hamirpur",,,,,,,
"National Institute of Technology, Jamshedpur",,,,,,,
"National Institute of Technology, Karnataka",,,,,,,
"National Institute of Technology, Kurukshetra",,,,,,,
"National Institute of Technology, Manipur",,,,,,,
"National Institute of Technology, Meghalaya",,,,,,,
"National Institute of Technology, Mizoram",,,,,,,
"National Institute of Technology, Nagaland",,,,,,,
"National Institute of Technology, Patna",,,,,,,
"National Institute of Technology, Puducherry",,,,,,,
"National Institute of Technology, Raipur",,,,,,,
"National Institute of Technology, Rourkela",,,,,,,
"National Institute of Technology, Sikkim",,,,,,,
"National Institute of Technology, Silchar",,,,,,,
"National Institute of Technology, Srinagar",,,,,,,
"National Institute of Technology, Tiruchirappalli",,,,,,,
"National Institute of Technology, Uttarakhand",,,,,,,
"National Institute of Technology, Warangal",,,,,,,
National Law Institute University,,,,,,,
National Law School of India University,,,,,,,
National Law University,,,,,,,
National Law University and Judicial Academy,,,,,,,
"National Law University, Jodhpur",,,,,,,
"National Law University, Orissa",,,,,,,
National University of Educational Planning and Administration,,,,,,,
National University of Study and Research in Law,,,,,,,
Nava Nalanda Mahavihara,,,,,,,
Navrachana University,,,,,,,
Navsari Agricultural University,,,,,,,
Nehru Gram Bharati Vishwavidyalaya,,,,,,,
NIILM University,,,,,,,
NIIT University,,,,,,,
Nilamber-Pitamber University,,,,,,,
NIMS University,,,,,,,
Nirma University of Science and Technology,,,,,,,
NITTE University,,,,,,,
Nizam's Institute of Medical Sciences,,,,,,,
Noida International University,,,,,,,
North East Frontier Technical University,,,,,,,
North Eastern Hill University,,,,,,,
North Eastern Regional Institute of Science and Technology,,,,,,,
North Maharashtra University,,,,,,,
North Orissa University,,,,,,,
O.P. Jindal Global University,,,,,,,
O.P. Jindal University,,,,,,,
OPJS University,,,,,,,
Oriental University,,,,,,,
Orissa University of Agriculture and Technology,,,,,,,
Osmania University,,,,,,,
P P Savani University,,,,,,,
P.K. University,,,,,,,
Pacific Medical University,,,,,,,
"Pacific University, India",,,,,,,
Padmashree Dr. D.Y. Patil Vidyapith,,,,,,,
Palamuru University,,,,,,,
Pandit Deendayal Petroleum University,,,,,,,
Pandit Deendayal Upadhyaya Shekhawati University,,,,,,,
Pandit Ravishankar Shukla University,,,,,,,
Panjab University,,,,,,,
Parul University,,,,,,,
Patna University,,,,,,,
PDM University,,,,,,,
"PDPM Indian Institute of Information Technology, Design and Manufacturing",,,,,,,
PEC University of Technology,,,,,,,
People's University,,,,,,,
Periyar Maniammai University,,,,,,,
Periyar University,,,,,,,
PES University,,,,,,,
Plastindia International University,,,,,,,
Pondicherry University,,,,,,,
Ponnaiyan Ramajayam Institute of Science and Technology,,,,,,,
Poornima University,,,,,,,
Post Graduate Institute of Medical Education and Research,,,,,,,
Potti Sreeramulu Telugu University,,,,,,,
Pragyan International University,,,,,,,
Pratap University,,,,,,,
Pravara Institute of Medical Sciences,,,,,,,
Presidency University,,,,,,,
Professor Jayashankar Telangana State Agricultural University,,,,,,,
Pt. Bhagwat Dayal Sharma University of Health Sciences,,,,,,,
Punjab Agricultural University,,,,,,,
Punjab Technical University,,,,,,,
Punjabi University,,,,,,,
Quantum University,,,,,,,
Rabindra Bharati University,,,,,,,
Raffles University,,,,,,,
Rai Technology University,,,,,,,
Rai University,,,,,,,
Raiganj University,,,,,,,
Raj Rishi Bharthari Matsya University,,,,,,,
Raja Mansingh Tomar Music and Arts University,,,,,,,
Rajasthan Technical University Kota,,,,,,,
Rajasthan University of Health Sciences,,,,,,,
Rajasthan University of Veterinary and Animal Sciences,,,,,,,
Rajiv Gandhi Institute of Petroleum Technology,,,,,,,
Rajiv Gandhi National Aviation University,,,,,,,
Rajiv Gandhi National Institute of Youth Development,,,,,,,
Rajiv Gandhi National University of Law,,,,,,,
Rajiv Gandhi Proudyogiki Vishwavidyalaya,,,,,,,
Rajiv Gandhi University,,,,,,,
Rajiv Gandhi University of Health Sciences,,,,,,,
Rajiv Gandhi University of Knowledge Technologies,,,,,,,
Rajmata Vijayaraje Scindia Krishi Vishwavidyalaya,,,,,,,
Raksha Shakti University,,,,,,,
Rama Devi Women's University,,,,,,,
Rama University,,,,,,,
Ramakrishna Mission Vivekananda University,,,,,,,
Ranchi University,,,,,,,
"Rani Channamma University, Belagavi",,,,,,,
Rani Durgavati Vishwavidyalaya,,,,,,,
Rani Lakshmi Bai Central Agricultural University,,,,,,,
Ras Bihari Bose Subharti University,,,,,,,
Rashtrasant Tukadoji Maharaj Nagpur University,,,,,,,
Rashtriya Sanskrit Sansthan University,,,,,,,
Rashtriya Sanskrit Vidyapeetha,,,,,,,
Ravenshaw University,,,,,,,
Rayalaseema University,,,,,,,
Rayat-Bahra University,,,,,,,
REVA University,,,,,,,
RIMT University,,,,,,,
RK University,,,,,,,
RKDF University,,,,,,,
Sai Nath University,,,,,,,
Sai Tirupati University,,,,,,,
"Sam Higginbottom Institute of Agriculture, Technology and Sciences",,,,,,,
Sambalpur University,,,,,,,
Sampurnanand Sanskrit Vishvavidyalaya,,,,,,,
Sanchi University of Buddhist-Indic Studies,,,,,,,
Sandip University,,,,,,,
"Sandip University, Sijoul",,,,,,,
Sangai International University,,,,,,,
Sangam University,,,,,,,
Sanjay Gandhi Post Graduate Institute of Medical Sciences,,,,,,,
Sanjay Ghodawat University,,,,,,,
Sankalchand Patel University,,,,,,,
Sanskriti University,,,,,,,
Sant Baba Bhag Singh University,,,,,,,
Sant Gadge Baba Amravati University,,,,,,,
Sant Longowal Institute of Engineering and Technology,,,,,,,
Santosh University,,,,,,,
Sardar Patel University,,,,,,,
"Sardar Patel University of Police, Security and Criminal Justice",,,,,,,
"Sardar Vallabhbhai National Institute of Technology, Surat",,,,,,,
Sardar Vallabhbhai Patel University of Agriculture and Technology,,,,,,,
Sardarkrushinagar Dantiwada Agricultural University,,,,,,,
Sarguja University,,,,,,,
Sarla Birla University,,,,,,,
Sarvepalli Radhakrishnan University,,,,,,,
SASTRA University,,,,,,,
Satavahana University,,,,,,,
Sathyabama University,,,,,,,
Saurashtra University,,,,,,,
Saveetha University,,,,,,,
"School of Planning and Architecture, Bhopal",,,,,,,
"School of Planning and Architecture, Delhi",,,,,,,
"School of Planning and Architecture, Vijayawada",,,,,,,
Seacom Skills University,,,,,,,
Sharda University,,,,,,,
Sharnbasva University,,,,,,,
Sher-e-Kashmir University of Agricultural Sciences and Technology of Jammu,,,,,,,
Sher-e-Kashmir University of Agricultural Sciences and Technology of Kashmir,,,,,,,
Sher-i-Kashmir Institute of Medical Sciences,,,,,,,
Shiv Nadar University,,,,,,,
Shivaji University,,,,,,,
Shobhit University,,,,,,,
Shoolini University of Biotechnology and Management Sciences,,,,,,,
Shree Guru Gobind Singh Tricentenary University,,,,,,,
Shree Somnath Sanskrit University,,,,,,,
Shreemati Nathibai Damodar Thackersey Women's University,,,,,,,
Shri Govind Guru University,,,,,,,
Shri Guru Ram Rai Education Mission,,,,,,,
Shri Guru Ram Rai University,,,,,,,
Shri Jagannath Sanskrit Vishvavidyalaya,,,,,,,
Shri Jagdishprasad Jhabrmal Tibrewala University,,,,,,,
Shri Lal Bahadur Shastri Rashtriya Sanskrit Vidyapeetha,,,,,,,
Shri Mata Vaishno Devi University,,,,,,,
Shri Ramswaroop Memorial University,,,,,,,
Shri Vaishnav Vidyapeeth Vishwavidyalaya,,,,,,,
Shri Venkateshwara University,,,,,,,
Shridhar University,,,,,,,
Siddharth University,,,,,,,
Sidho Kanho Birsha University,,,,,,,
Sido Kanhu Murmu University,,,,,,,
Sikkim Manipal University,,,,,,,
Sikkim University,,,,,,,
Siksha O Anusandhan University,,,,,,,
Singhania University,,,,,,,
Sir Padampat Singhania University,,,,,,,
South Asian University,,,,,,,
Spicer Adventist University,,,,,,,
Sree Chitra Thirunal Institute of Medical Sciences and Technology,,,,,,,
Sree Sankaracharya University of Sanskrit,,,,,,,
Sri Balaji Vidyapeeth,,,,,,,
Sri Chandrasekharendra Saraswathi Viswa Mahavidyalaya,,,,,,,
Sri Dev Suman Uttarakhand University,,,,,,,
Sri Devaraj Urs Academy of Higher Education and Research,,,,,,,
Sri Guru Granth Sahib World University,,,,,,,
Sri Guru Ram Das University of Health Sciences,,,,,,,
Sri Konda Laxman Telangana State Horticultural University,,,,,,,
Sri Krishnadevaraya University,,,,,,,
Sri Padmavati Mahila Visvavidyalayam,,,,,,,
Sri Ramachandra University,,,,,,,
Sri Sai University,,,,,,,
Sri Sathya Sai Institute of Higher Learning,,,,,,,
Sri Satya Sai University of Technology and Medical Sciences,,,,,,,
Sri Siddhartha Academy of Higher Education,,,,,,,
Sri Sri University,,,,,,,
Sri Venkateswara Institute of Medical Sciences,,,,,,,
Sri Venkateswara University,,,,,,,
Sri Venkateswara Vedic University,,,,,,,
Sri Venkateswara Veterinary University,,,,,,,
Srimanta Sankaradeva University of Health Sciences,,,,,,,
Srinivas University,,,,,,,
SRM Institute of Science and Technology,,,,,,,
SRM University Haryana,,,,,,,
"SRM University, Sikkim",,,,,,,
St. Joseph University,,,,,,,
St. Peter's University,,,,,,,
St. Xavier's University,,,,,,,
Starex University,,,,,,,
State University of Performing and Visual Arts,,,,,,,
Suamandeep Vidyapeeth,,,,,,,
Sunrise University,,,,,,,
Suresh Gyan Vihar University,,,,,,,
Swami Keshwanand Rajasthan Agricultural University,,,,,,,
Swami Rama Himalayan University,,,,,,,
Swami Ramanand Teerth Marathwada University,,,,,,,
Swami Vivekanand Subharti University,,,,,,,
Swami Vivekanand University,,,,,,,
Swami Vivekananda Yoga Anusandhana Samsthana,,,,,,,
Swarnim Gujarat Sports University,,,,,,,
Swarnim Startup and Innovation University,,,,,,,
Symbiosis International University,,,,,,,
Symbiosis University of Applied Sciences,,,,,,,
Tamil Nadu Agricultural University,,,,,,,
Tamil Nadu Dr Ambedkar Law University,,,,,,,
Tamil Nadu Dr. M.G.R.Medical University,,,,,,,
Tamil Nadu Fisheries University,,,,,,,
Tamil Nadu Music and Fine Arts University,,,,,,,
Tamil Nadu National Law School,,,,,,,
Tamil Nadu Physical Education and Sports University,,,,,,,
Tamil Nadu Teacher Education University,,,,,,,
Tamil Nadu Veterinary and Animal Sciences University,,,,,,,
Tamil University,,,,,,,
Tantia University,,,,,,,
Tata Institute of Fundamental Research,,,,,,,
Tata Institute of Social Sciences,,,,,,,
TeamLease Skills University,,,,,,,
Techno India University,,,,,,,
Teerthanker Mahaveer University,,,,,,,
Telangana University,,,,,,,
TERI University,,,,,,,
Tezpur University,,,,,,,
Thapar Institute of Engineering and Technology,,,,,,,
The English and Foreign Languages University,,,,,,,
The IIS University,,,,,,,
The Indian Law Institute,,,,,,,
The LNM Institute of Information Technology,,,,,,,
The Maharaja Sayajirao University of Baroda,,,,,,,
